"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","molecule_ch1","extract_protocol_ch1","label_ch1","label_protocol_ch1","taxid_ch1","scan_protocol","description","data_processing","platform_id","contact_name","contact_email","contact_institute","contact_address","contact_city","contact_state","contact_zip/postal_code","contact_country","supplementary_file","data_row_count"
"GSM136588","045_02_02","GSM136588","Public on Jan 31 2008","Sep 15 2006","Aug 28 2007","RNA","1","Pre-treatment metastatic biopsy of CRC","Homo sapiens","Tissue: Liver","total RNA","RNA isolated from core-needle biopsy stored in RNAlater at RT using RNeasy Mini Kit (Qiagen)according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 1 microg total RNA RNA!Sample_hyb_protocol = Standard Affymetrix procedures","9606","GeneChips were scanned using the Affymetrix GeneChip Scanner 3000","Gene expression data from pre-cetuximab monotherapy treatment biopsies of advanced metastatic colorectal cancer patients","Data scaled to 1500 mean signal intensity value using GCOS 1.1.1.052","GPL571","Shirin,Khambata,Ford","shirin.ford@bms.com","Bristol-Myers Squibb Pharmaceutical Research Institute","311 Pennington-Rocky Hill Road, 3B-2.06","Pennington","NJ","08534","USA","ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM136nnn/GSM136588/GSM136588.CEL.gz","22277"
"GSM136589","045_02_03","GSM136589","Public on Jan 31 2008","Sep 15 2006","Aug 28 2007","RNA","1","Pre-treatment metastatic biopsy of CRC","Homo sapiens","Tissue: Liver","total RNA","RNA isolated from core-needle biopsy stored in RNAlater at RT using RNeasy Mini Kit (Qiagen)according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 1 microg total RNA RNA!Sample_hyb_protocol = Standard Affymetrix procedures","9606","GeneChips were scanned using the Affymetrix GeneChip Scanner 3000","Gene expression data from pre-cetuximab monotherapy treatment biopsies of advanced metastatic colorectal cancer patients","Data scaled to 1500 mean signal intensity value using GCOS 1.1.1.052","GPL571","Shirin,Khambata,Ford","shirin.ford@bms.com","Bristol-Myers Squibb Pharmaceutical Research Institute","311 Pennington-Rocky Hill Road, 3B-2.06","Pennington","NJ","08534","USA","ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM136nnn/GSM136589/GSM136589.CEL.gz","22277"
"GSM136590","045_02_04","GSM136590","Public on Jan 31 2008","Sep 15 2006","Aug 28 2007","RNA","1","Pre-treatment metastatic biopsy of CRC","Homo sapiens","Tissue: Liver","total RNA","RNA isolated from core-needle biopsy stored in RNAlater at RT using RNeasy Mini Kit (Qiagen)according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 1 microg total RNA RNA!Sample_hyb_protocol = Standard Affymetrix procedures","9606","GeneChips were scanned using the Affymetrix GeneChip Scanner 3000","Gene expression data from pre-cetuximab monotherapy treatment biopsies of advanced metastatic colorectal cancer patients","Data scaled to 1500 mean signal intensity value using GCOS 1.1.1.052","GPL571","Shirin,Khambata,Ford","shirin.ford@bms.com","Bristol-Myers Squibb Pharmaceutical Research Institute","311 Pennington-Rocky Hill Road, 3B-2.06","Pennington","NJ","08534","USA","ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM136nnn/GSM136590/GSM136590.CEL.gz","22277"
"GSM136591","045_02_05","GSM136591","Public on Jan 31 2008","Sep 15 2006","Aug 28 2007","RNA","1","Pre-treatment metastatic biopsy of CRC","Homo sapiens","Tissue: Liver","total RNA","RNA isolated from core-needle biopsy stored in RNAlater at RT using RNeasy Mini Kit (Qiagen)according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 1 microg total RNA RNA!Sample_hyb_protocol = Standard Affymetrix procedures","9606","GeneChips were scanned using the Affymetrix GeneChip Scanner 3000","Gene expression data from pre-cetuximab monotherapy treatment biopsies of advanced metastatic colorectal cancer patients","Data scaled to 1500 mean signal intensity value using GCOS 1.1.1.052","GPL571","Shirin,Khambata,Ford","shirin.ford@bms.com","Bristol-Myers Squibb Pharmaceutical Research Institute","311 Pennington-Rocky Hill Road, 3B-2.06","Pennington","NJ","08534","USA","ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM136nnn/GSM136591/GSM136591.CEL.gz","22277"
"GSM136592","045_02_06","GSM136592","Public on Jan 31 2008","Sep 15 2006","Aug 28 2007","RNA","1","Pre-treatment metastatic biopsy of CRC","Homo sapiens","Tissue: Lung","total RNA","RNA isolated from core-needle biopsy stored in RNAlater at RT using RNeasy Mini Kit (Qiagen)according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 1 microg total RNA RNA!Sample_hyb_protocol = Standard Affymetrix procedures","9606","GeneChips were scanned using the Affymetrix GeneChip Scanner 3000","Gene expression data from pre-cetuximab monotherapy treatment biopsies of advanced metastatic colorectal cancer patients","Data scaled to 1500 mean signal intensity value using GCOS 1.1.1.052","GPL571","Shirin,Khambata,Ford","shirin.ford@bms.com","Bristol-Myers Squibb Pharmaceutical Research Institute","311 Pennington-Rocky Hill Road, 3B-2.06","Pennington","NJ","08534","USA","ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM136nnn/GSM136592/GSM136592.CEL.gz","22277"
"GSM136593","045_02_08","GSM136593","Public on Jan 31 2008","Sep 15 2006","Aug 28 2007","RNA","1","Pre-treatment metastatic biopsy of CRC","Homo sapiens","Tissue: Lung","total RNA","RNA isolated from core-needle biopsy stored in RNAlater at RT using RNeasy Mini Kit (Qiagen)according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 1 microg total RNA RNA!Sample_hyb_protocol = Standard Affymetrix procedures","9606","GeneChips were scanned using the Affymetrix GeneChip Scanner 3000","Gene expression data from pre-cetuximab monotherapy treatment biopsies of advanced metastatic colorectal cancer patients","Data scaled to 1500 mean signal intensity value using GCOS 1.1.1.052","GPL571","Shirin,Khambata,Ford","shirin.ford@bms.com","Bristol-Myers Squibb Pharmaceutical Research Institute","311 Pennington-Rocky Hill Road, 3B-2.06","Pennington","NJ","08534","USA","ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM136nnn/GSM136593/GSM136593.CEL.gz","22277"
"GSM136594","045_02_09","GSM136594","Public on Jan 31 2008","Sep 15 2006","Aug 28 2007","RNA","1","Pre-treatment metastatic biopsy of CRC","Homo sapiens","Tissue: Liver","total RNA","RNA isolated from core-needle biopsy stored in RNAlater at RT using RNeasy Mini Kit (Qiagen)according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 1 microg total RNA RNA!Sample_hyb_protocol = Standard Affymetrix procedures","9606","GeneChips were scanned using the Affymetrix GeneChip Scanner 3000","Gene expression data from pre-cetuximab monotherapy treatment biopsies of advanced metastatic colorectal cancer patients","Data scaled to 1500 mean signal intensity value using GCOS 1.1.1.052","GPL571","Shirin,Khambata,Ford","shirin.ford@bms.com","Bristol-Myers Squibb Pharmaceutical Research Institute","311 Pennington-Rocky Hill Road, 3B-2.06","Pennington","NJ","08534","USA","ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM136nnn/GSM136594/GSM136594.CEL.gz","22277"
"GSM136595","045_02_10","GSM136595","Public on Jan 31 2008","Sep 15 2006","Aug 28 2007","RNA","1","Pre-treatment metastatic biopsy of CRC","Homo sapiens","Tissue: Liver","total RNA","RNA isolated from core-needle biopsy stored in RNAlater at RT using RNeasy Mini Kit (Qiagen)according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 1 microg total RNA RNA!Sample_hyb_protocol = Standard Affymetrix procedures","9606","GeneChips were scanned using the Affymetrix GeneChip Scanner 3000","Gene expression data from pre-cetuximab monotherapy treatment biopsies of advanced metastatic colorectal cancer patients","Data scaled to 1500 mean signal intensity value using GCOS 1.1.1.052","GPL571","Shirin,Khambata,Ford","shirin.ford@bms.com","Bristol-Myers Squibb Pharmaceutical Research Institute","311 Pennington-Rocky Hill Road, 3B-2.06","Pennington","NJ","08534","USA","ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM136nnn/GSM136595/GSM136595.CEL.gz","22277"
"GSM136596","045_03_01","GSM136596","Public on Jan 31 2008","Sep 15 2006","Aug 28 2007","RNA","1","Pre-treatment metastatic biopsy of CRC","Homo sapiens","Tissue: Liver","total RNA","RNA isolated from core-needle biopsy stored in RNAlater at RT using RNeasy Mini Kit (Qiagen)according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 1 microg total RNA RNA!Sample_hyb_protocol = Standard Affymetrix procedures","9606","GeneChips were scanned using the Affymetrix GeneChip Scanner 3000","Gene expression data from pre-cetuximab monotherapy treatment biopsies of advanced metastatic colorectal cancer patients","Data scaled to 1500 mean signal intensity value using GCOS 1.1.1.052","GPL571","Shirin,Khambata,Ford","shirin.ford@bms.com","Bristol-Myers Squibb Pharmaceutical Research Institute","311 Pennington-Rocky Hill Road, 3B-2.06","Pennington","NJ","08534","USA","ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM136nnn/GSM136596/GSM136596.CEL.gz","22277"
"GSM136597","045_03_02","GSM136597","Public on Jan 31 2008","Sep 15 2006","Aug 28 2007","RNA","1","Pre-treatment metastatic biopsy of CRC","Homo sapiens","Tissue: Liver","total RNA","RNA isolated from core-needle biopsy stored in RNAlater at RT using RNeasy Mini Kit (Qiagen)according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 1 microg total RNA RNA!Sample_hyb_protocol = Standard Affymetrix procedures","9606","GeneChips were scanned using the Affymetrix GeneChip Scanner 3000","Gene expression data from pre-cetuximab monotherapy treatment biopsies of advanced metastatic colorectal cancer patients","Data scaled to 1500 mean signal intensity value using GCOS 1.1.1.052","GPL571","Shirin,Khambata,Ford","shirin.ford@bms.com","Bristol-Myers Squibb Pharmaceutical Research Institute","311 Pennington-Rocky Hill Road, 3B-2.06","Pennington","NJ","08534","USA","ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM136nnn/GSM136597/GSM136597.CEL.gz","22277"
"GSM136598","045_03_03","GSM136598","Public on Jan 31 2008","Sep 15 2006","Aug 28 2007","RNA","1","Pre-treatment metastatic biopsy of CRC","Homo sapiens","Tissue: Liver","total RNA","RNA isolated from core-needle biopsy stored in RNAlater at RT using RNeasy Mini Kit (Qiagen)according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 1 microg total RNA RNA!Sample_hyb_protocol = Standard Affymetrix procedures","9606","GeneChips were scanned using the Affymetrix GeneChip Scanner 3000","Gene expression data from pre-cetuximab monotherapy treatment biopsies of advanced metastatic colorectal cancer patients","Data scaled to 1500 mean signal intensity value using GCOS 1.1.1.052","GPL571","Shirin,Khambata,Ford","shirin.ford@bms.com","Bristol-Myers Squibb Pharmaceutical Research Institute","311 Pennington-Rocky Hill Road, 3B-2.06","Pennington","NJ","08534","USA","ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM136nnn/GSM136598/GSM136598.CEL.gz","22277"
"GSM136599","045_03_04","GSM136599","Public on Jan 31 2008","Sep 15 2006","Aug 28 2007","RNA","1","Pre-treatment metastatic biopsy of CRC","Homo sapiens","Tissue: Bone","total RNA","RNA isolated from core-needle biopsy stored in RNAlater at RT using RNeasy Mini Kit (Qiagen)according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 1 microg total RNA RNA!Sample_hyb_protocol = Standard Affymetrix procedures","9606","GeneChips were scanned using the Affymetrix GeneChip Scanner 3000","Gene expression data from pre-cetuximab monotherapy treatment biopsies of advanced metastatic colorectal cancer patients","Data scaled to 1500 mean signal intensity value using GCOS 1.1.1.052","GPL571","Shirin,Khambata,Ford","shirin.ford@bms.com","Bristol-Myers Squibb Pharmaceutical Research Institute","311 Pennington-Rocky Hill Road, 3B-2.06","Pennington","NJ","08534","USA","ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM136nnn/GSM136599/GSM136599.CEL.gz","22277"
"GSM136600","045_03_05","GSM136600","Public on Jan 31 2008","Sep 15 2006","Aug 28 2007","RNA","1","Pre-treatment metastatic biopsy of CRC","Homo sapiens","Tissue: Liver","total RNA","RNA isolated from core-needle biopsy stored in RNAlater at RT using RNeasy Mini Kit (Qiagen)according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 1 microg total RNA RNA!Sample_hyb_protocol = Standard Affymetrix procedures","9606","GeneChips were scanned using the Affymetrix GeneChip Scanner 3000","Gene expression data from pre-cetuximab monotherapy treatment biopsies of advanced metastatic colorectal cancer patients","Data scaled to 1500 mean signal intensity value using GCOS 1.1.1.052","GPL571","Shirin,Khambata,Ford","shirin.ford@bms.com","Bristol-Myers Squibb Pharmaceutical Research Institute","311 Pennington-Rocky Hill Road, 3B-2.06","Pennington","NJ","08534","USA","ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM136nnn/GSM136600/GSM136600.CEL.gz","22277"
"GSM136601","045_03_06","GSM136601","Public on Jan 31 2008","Sep 15 2006","Aug 28 2007","RNA","1","Pre-treatment metastatic biopsy of CRC","Homo sapiens","Tissue: Colon","total RNA","RNA isolated from core-needle biopsy stored in RNAlater at RT using RNeasy Mini Kit (Qiagen)according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 1 microg total RNA RNA!Sample_hyb_protocol = Standard Affymetrix procedures","9606","GeneChips were scanned using the Affymetrix GeneChip Scanner 3000","Gene expression data from pre-cetuximab monotherapy treatment biopsies of advanced metastatic colorectal cancer patients","Data scaled to 1500 mean signal intensity value using GCOS 1.1.1.052","GPL571","Shirin,Khambata,Ford","shirin.ford@bms.com","Bristol-Myers Squibb Pharmaceutical Research Institute","311 Pennington-Rocky Hill Road, 3B-2.06","Pennington","NJ","08534","USA","ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM136nnn/GSM136601/GSM136601.CEL.gz","22277"
"GSM136602","045_03_08","GSM136602","Public on Jan 31 2008","Sep 15 2006","Aug 28 2007","RNA","1","Pre-treatment metastatic biopsy of CRC","Homo sapiens","Tissue: Liver","total RNA","RNA isolated from core-needle biopsy stored in RNAlater at RT using RNeasy Mini Kit (Qiagen)according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 1 microg total RNA RNA!Sample_hyb_protocol = Standard Affymetrix procedures","9606","GeneChips were scanned using the Affymetrix GeneChip Scanner 3000","Gene expression data from pre-cetuximab monotherapy treatment biopsies of advanced metastatic colorectal cancer patients","Data scaled to 1500 mean signal intensity value using GCOS 1.1.1.052","GPL571","Shirin,Khambata,Ford","shirin.ford@bms.com","Bristol-Myers Squibb Pharmaceutical Research Institute","311 Pennington-Rocky Hill Road, 3B-2.06","Pennington","NJ","08534","USA","ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM136nnn/GSM136602/GSM136602.CEL.gz","22277"
"GSM136603","045_03_09","GSM136603","Public on Jan 31 2008","Sep 15 2006","Aug 28 2007","RNA","1","Pre-treatment metastatic biopsy of CRC","Homo sapiens","Tissue: Liver","total RNA","RNA isolated from core-needle biopsy stored in RNAlater at RT using RNeasy Mini Kit (Qiagen)according to the manufacturer's instructions.","biotin","Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 1 microg total RNA RNA!Sample_hyb_protocol = Standard Affymetrix procedures","9606","GeneChips were scanned using the Affymetrix GeneChip Scanner 3000","Gene expression data from pre-cetuximab monotherapy treatment biopsies of advanced metastatic colorectal cancer patients","Data scaled to 1500 mean signal intensity value using GCOS 1.1.1.052","GPL571","Shirin,Khambata,Ford","shirin.ford@bms.com","Bristol-Myers Squibb Pharmaceutical Research Institute","311 Pennington-Rocky Hill Road, 3B-2.06","Pennington","NJ","08534","USA","ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM136nnn/GSM136603/GSM136603.CEL.gz","22277"
