probeset,hgnc
CHST15|51363,CHST15
CHST2|9435,CHST2
CHST3|9469,CHST3
CHST4|10164,CHST4
CHST5|23563,CHST5
CHST6|4166,CHST6
CHST7|56548,CHST7
CHST8|64377,CHST8
CHST9|83539,CHST9
CHSY1|22856,CHSY1
CHSY3|337876,CHSY3
CHTF18|63922,CHTF18
CHTF8|54921,CHTF8
CHUK|1147,CHUK
CHURC1|91612,CHURC1
CIAO1|9391,CIAO1
CIAPIN1|57019,CIAPIN1
CIB1|10519,CIB1
CIB2|10518,CIB2
CIB3|117286,CIB3
CIB4|130106,CIB4
CIC|23152,CIC
CIDEA|1149,CIDEA
CIDEB|27141,CIDEB
CIDEC|63924,CIDEC
CIDECP|152302,CIDECP
CIITA|4261,CIITA
CILP|8483,CILP
CILP2|148113,CILP2
CINP|51550,CINP
CIR1|9541,CIR1
CIRBP|1153,CIRBP
CIRH1A|84916,CIRH1A
CISD1|55847,CISD1
CISD2|493856,CISD2
CISD3|284106,CISD3
CISH|1154,CISH
CIT|11113,CIT
CITED1|4435,CITED1
CITED2|10370,CITED2
CITED4|163732,CITED4
CIZ1|25792,CIZ1
CKAP2|26586,CKAP2
CKAP2L|150468,CKAP2L
CKAP4|10970,CKAP4
CKAP5|9793,CKAP5
CKB|1152,CKB
CKLF|51192,CKLF
CKM|1158,CKM
CKMT1A|548596,CKMT1A
CKMT1B|1159,CKMT1B
CKMT2|1160,CKMT2
CKS1B|1163,CKS1B
CKS2|1164,CKS2
CLASP1|23332,CLASP1
CLASP2|23122,CLASP2
CLC|1178,CLC
CLCA1|1179,CLCA1
CLCA2|9635,CLCA2
CLCA3P|9629,CLCA3P
CLCA4|22802,CLCA4
CLCC1|23155,CLCC1
CLCF1|23529,CLCF1
CLCN1|1180,CLCN1
CLCN2|1181,CLCN2
CLCN3|1182,CLCN3
CLCN4|1183,CLCN4
CLCN5|1184,CLCN5
CLCN6|1185,CLCN6
CLCN7|1186,CLCN7
CLCNKA|1187,CLCNKA
CLCNKB|1188,CLCNKB
CLDN1|9076,CLDN1
CLDN10|9071,CLDN10
CLDN11|5010,CLDN11
CLDN12|9069,CLDN12
CLDN14|23562,CLDN14
CLDN15|24146,CLDN15
CLDN16|10686,CLDN16
CLDN17|26285,CLDN17
CLDN18|51208,CLDN18
CLDN19|149461,CLDN19
CLDN2|9075,CLDN2
CLDN20|49861,CLDN20
CLDN22|53842,CLDN22
CLDN23|137075,CLDN23
CLDN25|644672,CLDN25
CLDN3|1365,CLDN3
CLDN4|1364,CLDN4
CLDN5|7122,CLDN5
CLDN6|9074,CLDN6
CLDN7|1366,CLDN7
CLDN8|9073,CLDN8
CLDN9|9080,CLDN9
CLDND1|56650,CLDND1
CLDND2|125875,CLDND2
CLEC10A|10462,CLEC10A
CLEC11A|6320,CLEC11A
CLEC12A|160364,CLEC12A
CLEC12B|387837,CLEC12B
CLEC14A|161198,CLEC14A
CLEC16A|23274,CLEC16A
CLEC17A|388512,CLEC17A
CLEC18A|348174,CLEC18A
CLEC18B|497190,CLEC18B
CLEC18C|283971,CLEC18C
CLEC1A|51267,CLEC1A
CLEC1B|51266,CLEC1B
CLEC2A|387836,CLEC2A
CLEC2B|9976,CLEC2B
CLEC2D|29121,CLEC2D
CLEC2L|154790,CLEC2L
CLEC3A|10143,CLEC3A
CLEC3B|7123,CLEC3B
CLEC4A|50856,CLEC4A
CLEC4C|170482,CLEC4C
CLEC4D|338339,CLEC4D
CLEC4E|26253,CLEC4E
CLEC4F|165530,CLEC4F
CLEC4G|339390,CLEC4G
CLEC4GP1|440508,CLEC4GP1
CLEC4M|10332,CLEC4M
CLEC5A|23601,CLEC5A
CLEC6A|93978,CLEC6A
CLEC7A|64581,CLEC7A
CLEC9A|283420,CLEC9A
CLECL1|160365,CLECL1
CLGN|1047,CLGN
CLIC1|1192,CLIC1
CLIC2|1193,CLIC2
CLIC3|9022,CLIC3
CLIC4|25932,CLIC4
CLIC5|53405,CLIC5
CLIC6|54102,CLIC6
CLINT1|9685,CLINT1
CLIP1|6249,CLIP1
CLIP2|7461,CLIP2
CLIP3|25999,CLIP3
CLIP4|79745,CLIP4
CLK1|1195,CLK1
CLK2|1196,CLK2
CLK2P|1197,CLK2P
CLK3|1198,CLK3
CLK4|57396,CLK4
CLLU1|574028,CLLU1
CLLU1OS|574016,CLLU1OS
CLMN|79789,CLMN
CLN3|1201,CLN3
CLN5|1203,CLN5
CLN6|54982,CLN6
CLN8|2055,CLN8
CLNK|116449,CLNK
CLNS1A|1207,CLNS1A
CLOCK|9575,CLOCK
CLP1|10978,CLP1
CLPB|81570,CLPB
CLPP|8192,CLPP
CLPS|1208,CLPS
CLPTM1|1209,CLPTM1
CLPTM1L|81037,CLPTM1L
CLPX|10845,CLPX
CLRN1|7401,CLRN1
CLRN1OS|116933,CLRN1OS
CLRN2|645104,CLRN2
CLRN3|119467,CLRN3
CLSPN|63967,CLSPN
CLSTN1|22883,CLSTN1
CLSTN2|64084,CLSTN2
CLSTN3|9746,CLSTN3
CLTA|1211,CLTA
CLTB|1212,CLTB
CLTC|1213,CLTC
CLTCL1|8218,CLTCL1
CLU|1191,CLU
CLUAP1|23059,CLUAP1
CLUL1|27098,CLUL1
CLVS1|157807,CLVS1
CLVS2|134829,CLVS2
CLYBL|171425,CLYBL
CMA1|1215,CMA1
CMAH|8418,CMAH
CMAS|55907,CMAS
CMBL|134147,CMBL
CMC1|152100,CMC1
CMIP|80790,CMIP
CMKLR1|1240,CMKLR1
CMPK1|51727,CMPK1
CMPK2|129607,CMPK2
CMTM1|113540,CMTM1
CMTM2|146225,CMTM2
CMTM3|123920,CMTM3
CMTM4|146223,CMTM4
CMTM5|116173,CMTM5
CMTM6|54918,CMTM6
CMTM7|112616,CMTM7
CMTM8|152189,CMTM8
CMYA5|202333,CMYA5
CN5H6.4|150384,CN5H6.4
CNBD1|168975,CNBD1
CNBP|7555,CNBP
CNDP1|84735,CNDP1
CNDP2|55748,CNDP2
CNFN|84518,CNFN
CNGA1|1259,CNGA1
CNGA2|1260,CNGA2
CNGA3|1261,CNGA3
CNGA4|1262,CNGA4
CNGB1|1258,CNGB1
CNGB3|54714,CNGB3
CNIH|10175,CNIH
CNIH2|254263,CNIH2
CNIH3|149111,CNIH3
CNIH4|29097,CNIH4
CNKSR1|10256,CNKSR1
CNKSR2|22866,CNKSR2
CNKSR3|154043,CNKSR3
CNN1|1264,CNN1
CNN2|1265,CNN2
CNN3|1266,CNN3
CNNM1|26507,CNNM1
CNNM2|54805,CNNM2
CNNM3|26505,CNNM3
CNNM4|26504,CNNM4
CNO|55330,CNO
CNOT1|23019,CNOT1
CNOT10|25904,CNOT10
CNOT2|4848,CNOT2
CNOT3|4849,CNOT3
CNOT4|4850,CNOT4
CNOT6|57472,CNOT6
CNOT6L|246175,CNOT6L
CNOT7|29883,CNOT7
CNOT8|9337,CNOT8
CNP|1267,CNP
CNPY1|285888,CNPY1
CNPY2|10330,CNPY2
CNPY3|10695,CNPY3
CNPY4|245812,CNPY4
CNR1|1268,CNR1
CNR2|1269,CNR2
CNRIP1|25927,CNRIP1
CNST|163882,CNST
CNTD1|124817,CNTD1
CNTD2|79935,CNTD2
CNTF|1270,CNTF
CNTFR|1271,CNTFR
CNTLN|54875,CNTLN
CNTN1|1272,CNTN1
CNTN2|6900,CNTN2
CNTN3|5067,CNTN3
CNTN4|152330,CNTN4
CNTN5|53942,CNTN5
CNTN6|27255,CNTN6
CNTNAP1|8506,CNTNAP1
CNTNAP2|26047,CNTNAP2
CNTNAP3|79937,CNTNAP3
CNTNAP4|85445,CNTNAP4
CNTNAP5|129684,CNTNAP5
CNTROB|116840,CNTROB
COASY|80347,COASY
COBL|23242,COBL
COBLL1|22837,COBLL1
COBRA1|25920,COBRA1
COCH|1690,COCH
COG1|9382,COG1
COG2|22796,COG2
COG3|83548,COG3
COG4|25839,COG4
COG5|10466,COG5
COG6|57511,COG6
COG7|91949,COG7
COG8|84342,COG8
COIL|8161,COIL
COL10A1|1300,COL10A1
COL11A1|1301,COL11A1
COL11A2|1302,COL11A2
COL12A1|1303,COL12A1
COL13A1|1305,COL13A1
COL14A1|7373,COL14A1
COL15A1|1306,COL15A1
COL16A1|1307,COL16A1
COL17A1|1308,COL17A1
COL18A1|80781,COL18A1
COL19A1|1310,COL19A1
COL1A1|1277,COL1A1
COL1A2|1278,COL1A2
COL20A1|57642,COL20A1
COL21A1|81578,COL21A1
COL22A1|169044,COL22A1
COL23A1|91522,COL23A1
COL24A1|255631,COL24A1
COL25A1|84570,COL25A1
COL27A1|85301,COL27A1
COL28A1|340267,COL28A1
COL29A1|256076,COL29A1
COL2A1|1280,COL2A1
COL3A1|1281,COL3A1
COL4A1|1282,COL4A1
COL4A2|1284,COL4A2
COL4A3|1285,COL4A3
COL4A3BP|10087,COL4A3BP
COL4A4|1286,COL4A4
COL4A5|1287,COL4A5
COL4A6|1288,COL4A6
COL5A1|1289,COL5A1
COL5A2|1290,COL5A2
COL5A3|50509,COL5A3
COL6A1|1291,COL6A1
COL6A2|1292,COL6A2
COL6A3|1293,COL6A3
COL6A4P2|646300,COL6A4P2
COL6A6|131873,COL6A6
COL7A1|1294,COL7A1
COL8A1|1295,COL8A1
COL8A2|1296,COL8A2
COL9A1|1297,COL9A1
COL9A2|1298,COL9A2
COL9A3|1299,COL9A3
COLEC10|10584,COLEC10
COLEC11|78989,COLEC11
COLEC12|81035,COLEC12
COLQ|8292,COLQ
COMMD1|150684,COMMD1
COMMD10|51397,COMMD10
COMMD2|51122,COMMD2
COMMD3|23412,COMMD3
COMMD4|54939,COMMD4
COMMD5|28991,COMMD5
COMMD6|170622,COMMD6
COMMD7|149951,COMMD7
COMMD8|54951,COMMD8
COMMD9|29099,COMMD9
COMP|1311,COMP
COMT|1312,COMT
COMTD1|118881,COMTD1
COPA|1314,COPA
COPB1|1315,COPB1
COPB2|9276,COPB2
COPE|11316,COPE
COPG|22820,COPG
COPG2|26958,COPG2
COPS2|9318,COPS2
COPS3|8533,COPS3
COPS4|51138,COPS4
COPS5|10987,COPS5
COPS6|10980,COPS6
COPS7A|50813,COPS7A
COPS7B|64708,COPS7B
COPS8|10920,COPS8
COPZ1|22818,COPZ1
COPZ2|51226,COPZ2
COQ10A|93058,COQ10A
COQ10B|80219,COQ10B
COQ2|27235,COQ2
COQ3|51805,COQ3
COQ4|51117,COQ4
COQ5|84274,COQ5
COQ6|51004,COQ6
COQ7|10229,COQ7
COQ9|57017,COQ9
CORIN|10699,CORIN
CORO1A|11151,CORO1A
CORO1B|57175,CORO1B
CORO1C|23603,CORO1C
CORO2A|7464,CORO2A
CORO2B|10391,CORO2B
CORO6|84940,CORO6
CORO7|79585,CORO7
CORT|1325,CORT
COTL1|23406,COTL1
COX10|1352,COX10
COX11|1353,COX11
COX15|1355,COX15
COX16|51241,COX16
COX17|10063,COX17
COX18|285521,COX18
COX19|90639,COX19
COX4I1|1327,COX4I1
COX4I2|84701,COX4I2
COX4NB|10328,COX4NB
COX5A|9377,COX5A
COX5B|1329,COX5B
COX6A1|1337,COX6A1
COX6A2|1339,COX6A2
COX6B1|1340,COX6B1
COX6B2|125965,COX6B2
COX6C|1345,COX6C
COX7A1|1346,COX7A1
COX7A2|1347,COX7A2
COX7A2L|9167,COX7A2L
COX7B|1349,COX7B
COX7B2|170712,COX7B2
COX7C|1350,COX7C
COX8A|1351,COX8A
COX8C|341947,COX8C
CP|1356,CP
CP110|9738,CP110
CPA1|1357,CPA1
CPA2|1358,CPA2
CPA3|1359,CPA3
CPA4|51200,CPA4
CPA5|93979,CPA5
CPA6|57094,CPA6
CPAMD8|27151,CPAMD8
CPB1|1360,CPB1
CPB2|1361,CPB2
CPD|1362,CPD
CPE|1363,CPE
CPEB1|64506,CPEB1
CPEB2|132864,CPEB2
CPEB3|22849,CPEB3
CPEB4|80315,CPEB4
CPLX1|10815,CPLX1
CPLX2|10814,CPLX2
CPLX3|594855,CPLX3
CPLX4|339302,CPLX4
CPM|1368,CPM
CPN1|1369,CPN1
CPN2|1370,CPN2
CPNE1|8904,CPNE1
CPNE2|221184,CPNE2
CPNE3|8895,CPNE3
CPNE4|131034,CPNE4
CPNE5|57699,CPNE5
CPNE6|9362,CPNE6
CPNE7|27132,CPNE7
CPNE8|144402,CPNE8
CPNE9|151835,CPNE9
CPO|130749,CPO
CPOX|1371,CPOX
CPPED1|55313,CPPED1
CPS1|1373,CPS1
CPSF1|29894,CPSF1
CPSF2|53981,CPSF2
CPSF3|51692,CPSF3
CPSF3L|54973,CPSF3L
CPSF4|10898,CPSF4
CPSF4L|642843,CPSF4L
CPSF6|11052,CPSF6
CPSF7|79869,CPSF7
CPT1A|1374,CPT1A
CPT1B|1375,CPT1B
CPT1C|126129,CPT1C
CPT2|1376,CPT2
CPVL|54504,CPVL
CPXCR1|53336,CPXCR1
CPXM1|56265,CPXM1
CPXM2|119587,CPXM2
CPZ|8532,CPZ
CR1|1378,CR1
CR1L|1379,CR1L
CR2|1380,CR2
CRABP1|1381,CRABP1
CRABP2|1382,CRABP2
CRADD|8738,CRADD
CRAMP1L|57585,CRAMP1L
CRAT|1384,CRAT
CRB1|23418,CRB1
CRB2|286204,CRB2
CRB3|92359,CRB3
CRBN|51185,CRBN
CRCP|27297,CRCP
CRCT1|54544,CRCT1
CREB1|1385,CREB1
CREB3|10488,CREB3
CREB3L1|90993,CREB3L1
CREB3L2|64764,CREB3L2
CREB3L3|84699,CREB3L3
CREB3L4|148327,CREB3L4
CREB5|9586,CREB5
CREBBP|1387,CREBBP
CREBL2|1389,CREBL2
CREBZF|58487,CREBZF
CREG1|8804,CREG1
CREG2|200407,CREG2
CRELD1|78987,CRELD1
CRELD2|79174,CRELD2
CREM|1390,CREM
CRH|1392,CRH
CRHBP|1393,CRHBP
CRHR1|1394,CRHR1
CRHR2|1395,CRHR2
CRIM1|51232,CRIM1
CRIP1|1396,CRIP1
CRIP2|1397,CRIP2
CRIP3|401262,CRIP3
CRIPAK|285464,CRIPAK
CRIPT|9419,CRIPT
CRISP1|167,CRISP1
CRISP2|7180,CRISP2
CRISP3|10321,CRISP3
CRISPLD1|83690,CRISPLD1
CRISPLD2|83716,CRISPLD2
CRK|1398,CRK
CRKL|1399,CRKL
CRLF1|9244,CRLF1
CRLF2|64109,CRLF2
CRLF3|51379,CRLF3
CRLS1|54675,CRLS1
CRMP1|1400,CRMP1
CRNKL1|51340,CRNKL1
CRNN|49860,CRNN
CROCC|9696,CROCC
CROCCL1|84809,CROCCL1
CROCCL2|114819,CROCCL2
CROT|54677,CROT
CRP|1401,CRP
CRTAC1|55118,CRTAC1
CRTAM|56253,CRTAM
CRTAP|10491,CRTAP
CRTC1|23373,CRTC1
CRTC2|200186,CRTC2
CRTC3|64784,CRTC3
CRX|1406,CRX
CRY1|1407,CRY1
CRY2|1408,CRY2
CRYAA|1409,CRYAA
CRYAB|1410,CRYAB
CRYBA1|1411,CRYBA1
CRYBA2|1412,CRYBA2
CRYBA4|1413,CRYBA4
CRYBB1|1414,CRYBB1
CRYBB2|1415,CRYBB2
CRYBB3|1417,CRYBB3
CRYBG3|131544,CRYBG3
CRYGA|1418,CRYGA
CRYGB|1419,CRYGB
CRYGC|1420,CRYGC
CRYGD|1421,CRYGD
CRYGN|155051,CRYGN
CRYGS|1427,CRYGS
CRYL1|51084,CRYL1
CRYM|1428,CRYM
CRYZ|1429,CRYZ
CRYZL1|9946,CRYZL1
CS|1431,CS
CSAD|51380,CSAD
CSAG1|158511,CSAG1
CSAG2|728461,CSAG2
CSAG3|389903,CSAG3
CSDA|8531,CSDA
CSDAP1|440359,CSDAP1
CSDC2|27254,CSDC2
CSDE1|7812,CSDE1
CSE1L|1434,CSE1L
CSF1|1435,CSF1
CSF1R|1436,CSF1R
CSF2|1437,CSF2
CSF2RA|1438,CSF2RA
CSF2RB|1439,CSF2RB
CSF3|1440,CSF3
CSF3R|1441,CSF3R
CSGALNACT1|55790,CSGALNACT1
CSGALNACT2|55454,CSGALNACT2
CSH1|1442,CSH1
CSH2|1443,CSH2
CSHL1|1444,CSHL1
CSK|1445,CSK
CSMD1|64478,CSMD1
CSMD2|114784,CSMD2
CSMD3|114788,CSMD3
CSN1S1|1446,CSN1S1
CSN1S2A|286828,CSN1S2A
CSN2|1447,CSN2
CSN3|1448,CSN3
CSNK1A1|1452,CSNK1A1
CSNK1A1L|122011,CSNK1A1L
CSNK1A1P|161635,CSNK1A1P
CSNK1D|1453,CSNK1D
CSNK1E|1454,CSNK1E
CSNK1G1|53944,CSNK1G1
CSNK1G2|1455,CSNK1G2
CSNK1G3|1456,CSNK1G3
CSNK2A1|1457,CSNK2A1
CSNK2A1P|283106,CSNK2A1P
CSNK2A2|1459,CSNK2A2
CSNK2B|1460,CSNK2B
CSPG4|1464,CSPG4
CSPG4PY2|84664,CSPG4PY2
CSPG5|10675,CSPG5
CSPP1|79848,CSPP1
CSRNP1|64651,CSRNP1
CSRNP2|81566,CSRNP2
CSRNP3|80034,CSRNP3
CSRP1|1465,CSRP1
CSRP2|1466,CSRP2
CSRP2BP|57325,CSRP2BP
CSRP3|8048,CSRP3
CST1|1469,CST1
CST11|140880,CST11
CST2|1470,CST2
CST3|1471,CST3
CST4|1472,CST4
CST5|1473,CST5
CST6|1474,CST6
CST7|8530,CST7
CST8|10047,CST8
CST9|128822,CST9
CST9L|128821,CST9L
CSTA|1475,CSTA
CSTB|1476,CSTB
CSTF1|1477,CSTF1
CSTF2|1478,CSTF2
CSTF2T|23283,CSTF2T
CSTF3|1479,CSTF3
CSTL1|128817,CSTL1
CSTT|164380,CSTT
CT45A1|541466,CT45A1
CT45A2|728911,CT45A2
CT45A3|441519,CT45A3
CT45A4|441520,CT45A4
CT45A5|441521,CT45A5
CT45A6|541465,CT45A6
CT47A1|728096,CT47A1
CT47A10|728036,CT47A10
CT47A11|255313,CT47A11
CT47A2|728090,CT47A2
CT47A6|728062,CT47A6
CT47A7|653282,CT47A7
CT47A9|728042,CT47A9
CT47B1|643311,CT47B1
CT62|196993,CT62
CTAG1B|1485,CTAG1B
CTAG2|30848,CTAG2
CTAGE1|64693,CTAGE1
CTAGE4|100128553,CTAGE4
CTAGE5|4253,CTAGE5
CTAGE6|340307,CTAGE6
CTAGE9|643854,CTAGE9
CTBP1|1487,CTBP1
CTBP2|1488,CTBP2
CTBS|1486,CTBS
CTCF|10664,CTCF
CTCFL|140690,CTCFL
CTDP1|9150,CTDP1
CTDSP1|58190,CTDSP1
CTDSP2|10106,CTDSP2
CTDSPL|10217,CTDSPL
CTDSPL2|51496,CTDSPL2
CTF1|1489,CTF1
CTGF|1490,CTGF
CTH|1491,CTH
CTHRC1|115908,CTHRC1
CTLA4|1493,CTLA4
CTNNA1|1495,CTNNA1
CTNNA2|1496,CTNNA2
CTNNA3|29119,CTNNA3
CTNNAL1|8727,CTNNAL1
CTNNB1|1499,CTNNB1
CTNNBIP1|56998,CTNNBIP1
CTNNBL1|56259,CTNNBL1
CTNND1|1500,CTNND1
CTNND2|1501,CTNND2
CTNS|1497,CTNS
CTPS|1503,CTPS
CTPS2|56474,CTPS2
CTR9|9646,CTR9
CTRB1|1504,CTRB1
CTRB2|440387,CTRB2
CTRC|11330,CTRC
CTRL|1506,CTRL
CTSA|5476,CTSA
CTSB|1508,CTSB
CTSC|1075,CTSC
CTSD|1509,CTSD
CTSE|1510,CTSE
CTSF|8722,CTSF
CTSG|1511,CTSG
CTSH|1512,CTSH
CTSK|1513,CTSK
CTSL1|1514,CTSL1
CTSL2|1515,CTSL2
CTSL3|392360,CTSL3
CTSO|1519,CTSO
CTSS|1520,CTSS
CTSW|1521,CTSW
CTSZ|1522,CTSZ
CTTN|2017,CTTN
CTTNBP2|83992,CTTNBP2
CTTNBP2NL|55917,CTTNBP2NL
CTU1|90353,CTU1
CTU2|348180,CTU2
CTXN1|404217,CTXN1
CTXN2|399697,CTXN2
CTXN3|613212,CTXN3
CUBN|8029,CUBN
CUEDC1|404093,CUEDC1
CUEDC2|79004,CUEDC2
CUL1|8454,CUL1
CUL2|8453,CUL2
CUL3|8452,CUL3
CUL4A|8451,CUL4A
CUL4B|8450,CUL4B
CUL5|8065,CUL5
CUL7|9820,CUL7
CUL9|23113,CUL9
CUTA|51596,CUTA
CUTC|51076,CUTC
CUX1|1523,CUX1
CUX2|23316,CUX2
CUZD1|50624,CUZD1
CWC15|51503,CWC15
CWC22|57703,CWC22
CWC25|54883,CWC25
CWC27|10283,CWC27
CWF19L1|55280,CWF19L1
CWF19L2|143884,CWF19L2
CWH43|80157,CWH43
CX3CL1|6376,CX3CL1
CX3CR1|1524,CX3CR1
CXADR|1525,CXADR
CXADRP2|646243,CXADRP2
CXADRP3|440224,CXADRP3
CXCL1|2919,CXCL1
CXCL10|3627,CXCL10
CXCL11|6373,CXCL11
CXCL12|6387,CXCL12
CXCL13|10563,CXCL13
CXCL14|9547,CXCL14
CXCL16|58191,CXCL16
CXCL17|284340,CXCL17
CXCL2|2920,CXCL2
CXCL3|2921,CXCL3
CXCL5|6374,CXCL5
CXCL6|6372,CXCL6
CXCL9|4283,CXCL9
CXCR1|3577,CXCR1
CXCR2|3579,CXCR2
CXCR2P1|3580,CXCR2P1
CXCR3|2833,CXCR3
CXCR4|7852,CXCR4
CXCR5|643,CXCR5
CXCR6|10663,CXCR6
CXCR7|57007,CXCR7
CXorf1|9142,CXorf1
CXorf21|80231,CXorf21
CXorf22|170063,CXorf22
CXorf23|256643,CXorf23
CXorf26|51260,CXorf26
CXorf27|25763,CXorf27
CXorf30|645090,CXorf30
CXorf36|79742,CXorf36
CXorf38|159013,CXorf38
CXorf40A|91966,CXorf40A
CXorf40B|541578,CXorf40B
CXorf41|139212,CXorf41
CXorf42|158801,CXorf42
CXorf48|54967,CXorf48
CXorf49B|100132994,CXorf49B
CXorf50B|653687,CXorf50B
CXorf51|100129239,CXorf51
CXorf56|63932,CXorf56
CXorf57|55086,CXorf57
CXorf58|254158,CXorf58
CXorf59|286464,CXorf59
CXorf61|203413,CXorf61
CXorf64|100130613,CXorf64
CXorf65|158830,CXorf65
CXorf66|347487,CXorf66
CXXC1|30827,CXXC1
CXXC4|80319,CXXC4
CXXC5|51523,CXXC5
CYB561|1534,CYB561
CYB561D1|284613,CYB561D1
CYB561D2|11068,CYB561D2
CYB5A|1528,CYB5A
CYB5B|80777,CYB5B
CYB5D1|124637,CYB5D1
CYB5D2|124936,CYB5D2
CYB5R1|51706,CYB5R1
CYB5R2|51700,CYB5R2
CYB5R3|1727,CYB5R3
CYB5R4|51167,CYB5R4
CYB5RL|606495,CYB5RL
CYBA|1535,CYBA
CYBASC3|220002,CYBASC3
CYBB|1536,CYBB
CYBRD1|79901,CYBRD1
CYC1|1537,CYC1
CYCS|54205,CYCS
CYCSP52|360155,CYCSP52
CYFIP1|23191,CYFIP1
CYFIP2|26999,CYFIP2
CYGB|114757,CYGB
CYHR1|50626,CYHR1
CYLC1|1538,CYLC1
CYLC2|1539,CYLC2
CYLD|1540,CYLD
CYMP|643160,CYMP
CYorf15A|246126,CYorf15A
CYorf15B|84663,CYorf15B
CYP11A1|1583,CYP11A1
CYP11B1|1584,CYP11B1
CYP11B2|1585,CYP11B2
CYP17A1|1586,CYP17A1
CYP19A1|1588,CYP19A1
CYP1A1|1543,CYP1A1
CYP1A2|1544,CYP1A2
CYP1B1|1545,CYP1B1
CYP20A1|57404,CYP20A1
CYP21A2|1589,CYP21A2
CYP24A1|1591,CYP24A1
CYP26A1|1592,CYP26A1
CYP26B1|56603,CYP26B1
CYP26C1|340665,CYP26C1
CYP27A1|1593,CYP27A1
CYP27B1|1594,CYP27B1
CYP27C1|339761,CYP27C1
CYP2A13|1553,CYP2A13
CYP2A6|1548,CYP2A6
CYP2A7|1549,CYP2A7
CYP2B6|1555,CYP2B6
CYP2B7P1|1556,CYP2B7P1
CYP2C18|1562,CYP2C18
CYP2C19|1557,CYP2C19
CYP2C8|1558,CYP2C8
CYP2C9|1559,CYP2C9
CYP2D6|1565,CYP2D6
CYP2D7P1|1564,CYP2D7P1
CYP2E1|1571,CYP2E1
CYP2F1|1572,CYP2F1
CYP2J2|1573,CYP2J2
CYP2R1|120227,CYP2R1
CYP2S1|29785,CYP2S1
CYP2U1|113612,CYP2U1
CYP2W1|54905,CYP2W1
CYP39A1|51302,CYP39A1
CYP3A4|1576,CYP3A4
CYP3A43|64816,CYP3A43
CYP3A5|1577,CYP3A5
CYP3A7|1551,CYP3A7
CYP46A1|10858,CYP46A1
CYP4A11|1579,CYP4A11
CYP4A22|284541,CYP4A22
CYP4B1|1580,CYP4B1
CYP4F11|57834,CYP4F11
CYP4F12|66002,CYP4F12
CYP4F2|8529,CYP4F2
CYP4F22|126410,CYP4F22
CYP4F3|4051,CYP4F3
CYP4F8|11283,CYP4F8
CYP4V2|285440,CYP4V2
CYP4X1|260293,CYP4X1
CYP4Z1|199974,CYP4Z1
CYP4Z2P|163720,CYP4Z2P
CYP51A1|1595,CYP51A1
CYP7A1|1581,CYP7A1
CYP7B1|9420,CYP7B1
CYP8B1|1582,CYP8B1
CYR61|3491,CYR61
CYS1|192668,CYS1
CYSLTR1|10800,CYSLTR1
CYSLTR2|57105,CYSLTR2
CYTH1|9267,CYTH1
CYTH2|9266,CYTH2
CYTH3|9265,CYTH3
CYTH4|27128,CYTH4
CYTIP|9595,CYTIP
CYTL1|54360,CYTL1
CYTSA|23384,CYTSA
CYTSB|92521,CYTSB
CYYR1|116159,CYYR1
D2HGDH|728294,D2HGDH
D4S234E|27065,D4S234E
DAAM1|23002,DAAM1
DAAM2|23500,DAAM2
DAB1|1600,DAB1
DAB2|1601,DAB2
DAB2IP|153090,DAB2IP
DACH1|1602,DACH1
DACH2|117154,DACH2
DACT1|51339,DACT1
DACT2|168002,DACT2
DACT3|147906,DACT3
DAD1|1603,DAD1
DAD1L|56286,DAD1L
DAG1|1605,DAG1
DAGLA|747,DAGLA
DAGLB|221955,DAGLB
DAK|26007,DAK
DALRD3|55152,DALRD3
DAND5|199699,DAND5
DAO|1610,DAO
DAOA|267012,DAOA
DAP|1611,DAP
DAP3|7818,DAP3
DAPK1|1612,DAPK1
DAPK2|23604,DAPK2
DAPK3|1613,DAPK3
DAPL1|92196,DAPL1
DAPP1|27071,DAPP1
DARC|2532,DARC
DARS|1615,DARS
DARS2|55157,DARS2
DAXX|1616,DAXX
DAZ1|1617,DAZ1
DAZ2|57055,DAZ2
DAZ3|57054,DAZ3
DAZ4|57135,DAZ4
DAZAP1|26528,DAZAP1
DAZAP2|9802,DAZAP2
DAZL|1618,DAZL
DBC1|1620,DBC1
DBF4|10926,DBF4
DBF4B|80174,DBF4B
DBH|1621,DBH
DBI|1622,DBI
DBN1|1627,DBN1
DBNDD1|79007,DBNDD1
DBNDD2|55861,DBNDD2
DBNL|28988,DBNL
DBP|1628,DBP
DBR1|51163,DBR1
DBT|1629,DBT
DBX1|120237,DBX1
DBX2|440097,DBX2
DCAF10|79269,DCAF10
DCAF11|80344,DCAF11
DCAF12|25853,DCAF12
DCAF12L1|139170,DCAF12L1
DCAF12L2|340578,DCAF12L2
DCAF13|25879,DCAF13
DCAF15|90379,DCAF15
DCAF16|54876,DCAF16
DCAF17|80067,DCAF17
DCAF4|26094,DCAF4
DCAF4L1|285429,DCAF4L1
DCAF4L2|138009,DCAF4L2
DCAF5|8816,DCAF5
DCAF6|55827,DCAF6
DCAF7|10238,DCAF7
DCAF8|50717,DCAF8
DCAF8L1|139425,DCAF8L1
DCAF8L2|347442,DCAF8L2
DCAKD|79877,DCAKD
DCBLD1|285761,DCBLD1
DCBLD2|131566,DCBLD2
DCC|1630,DCC
DCD|117159,DCD
DCDC1|341019,DCDC1
DCDC2|51473,DCDC2
